"Element"	"ionState"	"Ei"	"gi"
"N"	"II"	0	1
"N"	"II"	0.00604	3
"N"	"II"	0.01622	5
"N"	"II"	1.89897	5
"N"	"II"	4.05289	1
"N"	"II"	5.80055	5
"N"	"II"	11.43596	7
"N"	"II"	11.43758	5
"N"	"II"	11.43777	3
"N"	"II"	13.54113	3
"N"	"II"	13.54126	5
"N"	"II"	13.54199	1
"N"	"II"	17.877026	5
"N"	"II"	18.462312	1
"N"	"II"	18.466228	3
"N"	"II"	18.483133	5
"N"	"II"	18.49693	3
"N"	"II"	19.233263	3
"N"	"II"	20.409133	3
"N"	"II"	20.646058	3
"N"	"II"	20.653592	5
"N"	"II"	20.665518	7
"N"	"II"	20.676307	3
"N"	"II"	20.939965	3
"N"	"II"	21.148308	1
"N"	"II"	21.152682	3
"N"	"II"	21.159916	5
"N"	"II"	21.599539	5
"N"	"II"	22.103082	1
"N"	"II"	23.124489	5
"N"	"II"	23.131853	7
"N"	"II"	23.141959	9
"N"	"II"	23.196374	5
"N"	"II"	23.239296	3
"N"	"II"	23.242271	5
"N"	"II"	23.246033	7
"N"	"II"	23.41533	5
"N"	"II"	23.421752	3
"N"	"II"	23.425232	1
"N"	"II"	23.474568	7
"N"	"II"	23.571906	3
"N"	"II"	24.367883	1
"N"	"II"	24.37431	3
"N"	"II"	24.389123	5
"N"	"II"	24.531351	3
"N"	"II"	25.065964	3
"N"	"II"	25.133348	3
"N"	"II"	25.139688	5
"N"	"II"	25.151603	7
"N"	"II"	25.188937	1
"N"	"II"	25.192229	3
"N"	"II"	25.200902	5
"N"	"II"	25.235454	3
"N"	"II"	25.460177	5
"N"	"II"	25.4909	3
"N"	"II"	25.497874	5
"N"	"II"	25.506626	7
"N"	"II"	25.6536	1
"N"	"II"	25.996219	5
"N"	"II"	26.004194	7
"N"	"II"	26.014849	9
"N"	"II"	26.027477	5
"N"	"II"	26.066417	3
"N"	"II"	26.069666	5
"N"	"II"	26.074085	7
"N"	"II"	26.124123	5
"N"	"II"	26.129847	3
"N"	"II"	26.132949	1
"N"	"II"	26.164394	7
"N"	"II"	26.164749	5
"N"	"II"	26.167641	7
"N"	"II"	26.168135	9
"N"	"II"	26.173514	7
"N"	"II"	26.196278	7
"N"	"II"	26.197223	9
"N"	"II"	26.202344	3
"N"	"II"	26.209014	11
"N"	"II"	26.210511	9
"N"	"II"	26.211558	7
"N"	"II"	26.212139	5
"N"	"II"	26.220994	3
"N"	"II"	26.221455	5
"N"	"II"	26.253573	1
"N"	"II"	26.257305	3
"N"	"II"	26.263284	5
"N"	"II"	26.558898	1
"N"	"II"	26.564568	3
"N"	"II"	26.580245	5
"N"	"II"	26.635424	3
"N"	"II"	27.312	5
"N"	"II"	27.31	3
"N"	"II"	27.315	1
"N"	"II"	27.33794	5
"N"	"II"	27.3601	5
"N"	"II"	27.3653	7
"N"	"II"	27.407265	7
"N"	"II"	27.407576	5
"N"	"II"	27.40909	7
"N"	"II"	27.409602	9
"N"	"II"	27.418065	7
"N"	"II"	27.420805	9
"N"	"II"	27.420805	7
"N"	"II"	27.42126	9
"N"	"II"	27.421284	11
"N"	"II"	27.428609	7
"N"	"II"	27.429262	9
"N"	"II"	27.431029	3
"N"	"II"	27.43675	7
"N"	"II"	27.437237	5
"N"	"II"	27.437839	11
"N"	"II"	27.439081	9
"N"	"II"	27.440525	9
"N"	"II"	27.440537	11
"N"	"II"	27.443011	7
"N"	"II"	27.443034	9
"N"	"II"	27.444104	3
"N"	"II"	27.444457	5
"N"	"II"	27.445636	11
"N"	"II"	27.445638	13
"N"	"II"	27.44766	7
"N"	"II"	27.44766	5
"N"	"II"	27.616756	3
"N"	"II"	27.633399	5
"N"	"II"	27.657034	3
"N"	"II"	27.6611	3
"N"	"II"	27.728235	1
"N"	"II"	27.730126	3
"N"	"II"	27.733833	5
"N"	"II"	27.739182	7
"N"	"II"	27.745867	9
"N"	"II"	27.971269	3
"N"	"II"	27.974241	5
"N"	"II"	27.979665	7
"N"	"II"	28.080274	7
"N"	"II"	28.080517	5
"N"	"II"	28.081031	7
"N"	"II"	28.08144	9
"N"	"II"	28.099806	7
"N"	"II"	28.100182	9
"N"	"II"	28.104241	7
"N"	"II"	28.10454	5
"N"	"II"	28.10584	11
"N"	"II"	28.10675	9
"N"	"II"	28.10952	3
"N"	"II"	28.1098	5
"N"	"II"	28.354479	3
"N"	"II"	28.35913	5
"N"	"II"	28.366572	7
"N"	"II"	28.48523	7
"N"	"II"	28.48533	9
"N"	"II"	28.496399	5
"N"	"II"	28.5049	9
"N"	"II"	28.50869	11
"N"	"II"	28.50931	9
"N"	"II"	28.619488	5
"N"	"II"	30.124337	3
"N"	"II"	30.126519	5
"N"	"II"	30.129743	7
"N"	"II"	30.133933	9
"N"	"II"	30.138939	11
"N"	"II"	30.295949	7
"N"	"II"	30.300731	5
"N"	"II"	30.304034	3
"N"	"II"	30.368161	1
"N"	"II"	30.368676	3
"N"	"II"	30.369653	5
"N"	"II"	30.371039	7
"N"	"II"	30.372819	9
"N"	"II"	33.274675	9
"N"	"II"	33.279324	11
"N"	"II"	33.285202	13
"N"	"II"	33.279252	9
"N"	"II"	33.31654	7
"N"	"II"	33.317643	9
"N"	"II"	33.318735	11
"N"	"II"	34.50896	9
"N"	"II"	34.51315	11
"N"	"II"	34.519713	13
"W"	"II"	0	2
"W"	"II"	0.1883108	4
"W"	"II"	0.39333652	6
"W"	"II"	0.58474395	8
"W"	"II"	0.76214141	10
"W"	"II"	0.91999511	6
"W"	"II"	1.08006032	4
"W"	"II"	1.4011484	6
"W"	"II"	1.66286851	8
"W"	"II"	1.0951187	2
"W"	"II"	1.31330076	4
"W"	"II"	1.63328563	2
"W"	"II"	1.81442642	4
"W"	"II"	1.6656124	6
"W"	"II"	1.84205307	10
"W"	"II"	1.85576387	6
"W"	"II"	1.8779858	8
"W"	"II"	2.05232122	10
"W"	"II"	2.16190404	12
"W"	"II"	2.41055856	14
"W"	"II"	2.01284813	6
"W"	"II"	2.05684863	8
"W"	"II"	2.23179331	8
"W"	"II"	2.3545751	4
"W"	"II"	2.36444686	10
"W"	"II"	2.38997285	6
"W"	"II"	2.4057883	2
"W"	"II"	2.43471602	6
"W"	"II"	2.48460391	8
"W"	"II"	2.53620688	4
"W"	"II"	2.74499292	6
"W"	"II"	2.54591521	12
"W"	"II"	2.57643603	10
"W"	"II"	2.75170914	8
"W"	"II"	2.7900103	4
"W"	"II"	2.90748128	6
"W"	"II"	3.1052138	2
"W"	"II"	2.7940595	2
"W"	"II"	2.8574296	8
"W"	"II"	2.88074533	10
"W"	"II"	2.95128291	8
"W"	"II"	2.97008474	12
"W"	"II"	3.07537994	8
"W"	"II"	3.0985624	4
"W"	"II"	3.120667	4
"W"	"II"	3.12554655	10
"W"	"II"	3.1829346	6
"W"	"II"	3.2432507	10
"W"	"II"	3.2517208	6
"W"	"II"	3.2888929	2
"W"	"II"	3.33877147	12
"W"	"II"	3.49481426	14
"W"	"II"	3.3815144	8
"W"	"II"	3.4862913	6
"W"	"II"	3.51837213	12
"W"	"II"	3.5324239	4
"W"	"II"	3.54987689	8
"W"	"II"	3.6378732	10
"W"	"II"	3.7472667	4
"W"	"II"	3.7961538	6
"W"	"II"	3.7979989	10
"W"	"II"	3.85594403	12
"W"	"II"	3.8865435	14
"W"	"II"	3.8989222	8
"W"	"II"	3.910311	6
"W"	"II"	4.0278158	4
"W"	"II"	4.0853074	4
"W"	"II"	4.0853364	8
"W"	"II"	4.2043721	12
"W"	"II"	4.2267288	10
"W"	"II"	4.2709659	6
"W"	"II"	4.3785745	8
"W"	"II"	4.4419377	10
"W"	"II"	4.454174	6
"W"	"II"	4.48393267	2
"W"	"II"	4.6261254	8
"W"	"II"	4.70786946	4
"W"	"II"	4.95153734	6
"W"	"II"	5.25572576	8
"W"	"II"	5.76444148	10
"W"	"II"	5.99249826	12
"W"	"II"	6.6506679	14
"W"	"II"	4.78285325	2
"W"	"II"	4.85143473	4
"W"	"II"	5.21347082	6
"W"	"II"	5.56406479	8
"W"	"II"	5.6359579	2
"W"	"II"	6.30622143	10
"W"	"II"	6.7235493	12
"W"	"II"	5.1557574	10
"W"	"II"	5.24431127	4
"W"	"II"	5.49929234	6
"W"	"II"	5.51174383	2
"W"	"II"	6.32880961	8
"W"	"II"	5.54929653	10
"W"	"II"	5.56833604	4
"W"	"II"	5.64793303	4
"W"	"II"	5.72501934	8
"W"	"II"	5.74733761	6
"W"	"II"	5.7807981	2
"W"	"II"	5.84956717	4
"W"	"II"	5.87849628	6
"W"	"II"	5.90024025	4
"W"	"II"	5.98651478	6
"W"	"II"	6.05423532	8
"W"	"II"	6.07311043	4
"W"	"II"	6.2354572	6
"W"	"II"	6.09066275	8
"W"	"II"	6.0943793	2
"W"	"II"	6.09767108	10
"W"	"II"	6.10523511	6
"W"	"II"	6.25264699	4
"W"	"II"	6.3547393	4
"W"	"II"	6.37750713	6
"W"	"II"	6.38457299	12
"W"	"II"	6.3897266	2
"W"	"II"	6.43019236	8
"W"	"II"	6.4579786	6
"W"	"II"	6.48131005	8
"W"	"II"	6.49122371	2
"W"	"II"	6.51751158	10
"W"	"II"	6.5207959	2
"W"	"II"	6.5467391	4
"W"	"II"	6.5589865	8
"W"	"II"	6.5852388	6
"W"	"II"	6.61204779	4
"W"	"II"	6.61307847	8
"W"	"II"	6.61703803	10
"W"	"II"	6.623614	4
"W"	"II"	6.62574197	2
"W"	"II"	6.69840862	6
"W"	"II"	6.70216348	10
"W"	"II"	6.7121604	4
"W"	"II"	6.7417473	6
"W"	"II"	6.755366	2
"W"	"II"	6.75696623	8
"W"	"II"	6.78250412	6
"W"	"II"	6.81399462	12
"W"	"II"	6.8219741	8
"W"	"II"	6.83926471	6
"W"	"II"	6.86778802	10
"W"	"II"	6.8796518	4
"W"	"II"	7.0106255	6
"W"	"II"	6.9535702	4
"W"	"II"	6.98980372	12
"W"	"II"	6.99440105	10
"W"	"II"	6.9976239	14
"W"	"II"	7.01909709	8
"W"	"II"	7.03840962	8
"W"	"II"	7.05159918	6
"W"	"II"	7.05871116	4
"W"	"II"	7.07819366	10
"W"	"II"	7.09836044	6
"W"	"II"	7.15760703	8
"W"	"II"	7.1733239	6
"W"	"II"	7.18946415	10
"W"	"II"	7.1920369	4
"W"	"II"	7.2293697	2
"W"	"II"	7.23287809	6
"W"	"II"	7.25774113	8
"W"	"II"	7.2763803	10
"W"	"II"	7.2790644	8
"W"	"II"	7.2838289	4
"W"	"II"	7.30164543	12
"W"	"II"	7.34939323	8
"W"	"II"	7.3610026	4
"W"	"II"	7.36457943	10
"W"	"II"	7.369999	6
"W"	"II"	7.4162865	4
"W"	"II"	7.42282857	8
"W"	"II"	7.43083076	8
"W"	"II"	7.43810702	6
"W"	"II"	7.46620631	12
"W"	"II"	7.4708597	8
"W"	"II"	7.47360953	10
"W"	"II"	7.4916506	8
"W"	"II"	7.49791117	6
"W"	"II"	7.5204525	6
"W"	"II"	7.5215455	4
"W"	"II"	7.5507645	6
"W"	"II"	7.5699605	10
"W"	"II"	7.5776243	4
"W"	"II"	7.59289311	12
"W"	"II"	7.6034898	8
"W"	"II"	7.60774208	10
"W"	"II"	7.6313079	8
"W"	"II"	7.633317	6
"W"	"II"	7.63611946	12
"W"	"II"	7.63770782	14
"W"	"II"	7.7032755	2
"W"	"II"	7.72804109	10
"W"	"II"	7.7283377	6
"W"	"II"	7.74121206	10
"W"	"II"	7.7433784	4
"W"	"II"	7.7565866	8
"W"	"II"	7.77562871	14
"W"	"II"	7.7758127	10
"W"	"II"	7.7768704	4
"W"	"II"	7.8068528	12
"W"	"II"	7.8097199	6
"W"	"II"	7.82190693	14
"W"	"II"	7.8277142	4
"W"	"II"	7.8440412	8
"W"	"II"	7.9087341	8
"W"	"II"	7.91953543	16
"W"	"II"	7.9201435	6
"W"	"II"	7.9387716	6
"W"	"II"	7.96072596	10
"W"	"II"	7.9666248	4
"W"	"II"	7.9734379	6
"W"	"II"	7.9792201	8
"W"	"II"	7.99899257	10
"W"	"II"	8.0346934	4
"W"	"II"	8.0461188	8
"W"	"II"	8.0551507	12
"W"	"II"	8.0577805	6
"W"	"II"	8.05938105	10
"W"	"II"	8.0961328	4
"W"	"II"	8.09945944	12
"W"	"II"	8.1154472	8
"W"	"II"	8.1186108	6
"W"	"II"	8.1388148	8
"W"	"II"	8.14388546	12
"W"	"II"	8.1862802	8
"W"	"II"	8.2008723	6
"W"	"II"	8.21655719	10
"W"	"II"	8.2701746	12
"W"	"II"	8.2841642	10
"W"	"II"	8.2943022	8
"W"	"II"	8.3104939	10
"W"	"II"	8.3284594	6
"W"	"II"	8.4119895	10
"W"	"II"	8.432491	12
"W"	"II"	8.44072099	14
"W"	"II"	9.0286709	16
"W"	"II"	8.4758477	8
"W"	"II"	8.4859478	6
"W"	"II"	8.4928539	4
"W"	"II"	8.5077945	8
"W"	"II"	8.5220121	10
"W"	"II"	8.5592569	14
"W"	"II"	8.7837585	16
"W"	"II"	8.5624369	6
"W"	"II"	8.5680241	10
"W"	"II"	8.6146344	6
"W"	"II"	8.6268619	8
"W"	"II"	8.6277866	12
"W"	"II"	8.6789595	14
"W"	"II"	8.7051537	8
"W"	"II"	8.7624821	8
"W"	"II"	8.7907859	10
"W"	"II"	8.8232331	12
"W"	"II"	8.8301629	14
"W"	"II"	8.8332582	10
"W"	"II"	8.9002543	10
"W"	"II"	8.9492578	12
"W"	"II"	8.976652	10
"W"	"II"	8.9960325	10
"W"	"II"	9.0009184	8
"W"	"II"	9.0838656	12
"W"	"II"	9.1038543	8
"W"	"II"	9.138375	10
"W"	"II"	9.2302431	10
"S"	"II"	0	4
"S"	"II"	1.84153	4
"S"	"II"	1.845471	6
"S"	"II"	3.040691	2
"S"	"II"	3.046483	4
"S"	"II"	9.843774	6
"S"	"II"	9.888587	4
"S"	"II"	9.9141	2
"S"	"II"	12.136905	4
"S"	"II"	12.140391	6
"S"	"II"	13.092615	4
"S"	"II"	13.14781	2
"S"	"II"	13.583794	2
"S"	"II"	13.617382	4
"S"	"II"	13.671564	6
"S"	"II"	13.66021	4
"S"	"II"	13.677118	6
"S"	"II"	13.701334	8
"S"	"II"	13.733303	10
"S"	"II"	14.002474	2
"S"	"II"	14.067438	4
"S"	"II"	14.154321	2
"S"	"II"	14.159062	4
"S"	"II"	14.162844	6
"S"	"II"	14.168831	8
"S"	"II"	14.233928	6
"S"	"II"	14.293594	8
"S"	"II"	14.851295	2
"S"	"II"	15.067641	4
"S"	"II"	15.067802	6
"S"	"II"	15.558193	2
"S"	"II"	15.761752	8
"S"	"II"	15.761907	10
"S"	"II"	15.84829	2
"S"	"II"	15.867044	4
"S"	"II"	15.898891	6
"S"	"II"	15.944264	8
"S"	"II"	16.09164	2
"S"	"II"	16.100362	4
"S"	"II"	16.13458	6
"S"	"II"	16.19261	6
"S"	"II"	16.21947	4
"S"	"II"	16.235599	2
"S"	"II"	16.197433	4
"S"	"II"	16.265139	6
"S"	"II"	16.245507	4
"S"	"II"	16.52321	2
"S"	"II"	16.539488	4
"S"	"II"	16.534639	4
"S"	"II"	16.590926	6
"S"	"II"	16.902616	2
"S"	"II"	17.172948	6
"S"	"II"	17.175281	8
"S"	"II"	17.338569	2
"S"	"II"	17.359867	4
"S"	"II"	17.386317	6
"S"	"II"	17.397367	8
"S"	"II"	17.445679	6
"S"	"II"	17.450818	4
"S"	"II"	17.790362	2
"S"	"II"	17.807052	4
"S"	"II"	17.854893	6
"S"	"II"	17.87135	4
"S"	"II"	18.040413	4
"S"	"II"	18.086525	2
"S"	"II"	18.459582	6
"S"	"II"	18.46136	4
"S"	"II"	18.629681	2
"S"	"II"	18.663504	4
"S"	"II"	18.721169	6
"S"	"II"	18.7692	2
"S"	"II"	18.834542	4
"S"	"II"	18.802417	2
"S"	"II"	18.8406	4
"S"	"II"	18.857332	6
"S"	"II"	18.883413	8
"S"	"II"	18.921905	10
"S"	"II"	18.988664	2
"S"	"II"	18.994621	4
"S"	"II"	19.004679	6
"S"	"II"	19.02088	8
"S"	"II"	19.319058	6
"S"	"II"	19.345197	4
"S"	"II"	19.359944	2
"S"	"II"	19.356624	6
"S"	"II"	19.416442	8
"S"	"II"	19.362245	2
"S"	"II"	19.375858	4
"S"	"II"	19.444411	2
"S"	"II"	19.458018	4
"S"	"II"	19.487054	6
"S"	"II"	19.534798	8
"S"	"II"	19.53739	4
"S"	"II"	19.549496	2
"S"	"II"	19.594289	6
"S"	"II"	19.604226	4
"S"	"II"	19.616233	4
"S"	"II"	19.678209	6
"S"	"II"	19.692201	4
"S"	"II"	19.748657	2
"S"	"II"	19.774591	6
"S"	"II"	19.774976	4
"S"	"II"	19.85038	6
"S"	"II"	19.853453	8
"S"	"II"	19.869463	6
"S"	"II"	19.872713	8
"S"	"II"	19.892356	10
"S"	"II"	19.897376	8
"S"	"II"	19.894782	4
"S"	"II"	19.895436	6
"S"	"II"	19.928436	4
"S"	"II"	19.928436	2
"S"	"II"	19.940216	12
"S"	"II"	19.951655	10
"S"	"II"	19.988863	4
"S"	"II"	19.992882	6
"S"	"II"	20.002327	8
"S"	"II"	20.006114	10
"S"	"II"	20.00937	6
"S"	"II"	20.017864	8
"S"	"II"	20.052349	6
"S"	"II"	20.052955	4
"S"	"II"	20.355871	8
"S"	"II"	20.366734	10
"S"	"II"	20.362218	6
"S"	"II"	20.375267	8
"S"	"II"	20.546566	2
"S"	"II"	20.580304	4
"S"	"II"	20.640867	6
"S"	"II"	20.600174	2
"S"	"II"	20.604372	4
"S"	"II"	20.622439	2
"S"	"II"	20.688339	4
"S"	"II"	20.654662	4
"S"	"II"	20.669315	6
"S"	"II"	20.695228	8
"S"	"II"	20.738731	10
"S"	"II"	20.736957	2
"S"	"II"	20.741545	4
"S"	"II"	20.750613	6
"S"	"II"	20.776681	8
"S"	"II"	20.763934	4
"S"	"II"	20.768145	6
"S"	"II"	20.856262	6
"S"	"II"	20.878677	4
"S"	"II"	20.890151	2
"S"	"II"	20.884288	6
"S"	"II"	20.888049	8
"S"	"II"	20.966911	2
"S"	"II"	20.988484	6
"S"	"II"	21.040406	8
"S"	"II"	20.995533	4
"S"	"II"	21.038571	2
"S"	"II"	21.067676	4
"S"	"II"	21.079202	6
"S"	"II"	21.108906	6
"S"	"II"	21.114283	8
"S"	"II"	21.138938	6
"S"	"II"	21.139915	8
"S"	"II"	21.150122	10
"S"	"II"	21.154184	8
"S"	"II"	21.154364	8
"S"	"II"	21.154416	10
"S"	"II"	21.157649	4
"S"	"II"	21.159531	6
"S"	"II"	21.185459	8
"S"	"II"	21.185484	10
"S"	"II"	21.193318	12
"S"	"II"	21.193387	10
"S"	"II"	21.19513	6
"S"	"II"	21.195162	8
"S"	"II"	21.197066	10
"S"	"II"	21.202279	8
"S"	"II"	21.201321	2
"S"	"II"	21.201321	4
"S"	"II"	21.203237	12
"S"	"II"	21.216846	10
"S"	"II"	21.223946	4
"S"	"II"	21.226624	6
"S"	"II"	21.224728	6
"S"	"II"	21.224779	8
"S"	"II"	21.234014	8
"S"	"II"	21.236173	10
"S"	"II"	21.239103	6
"S"	"II"	21.2457	8
"S"	"II"	21.253477	14
"S"	"II"	21.253498	12
"S"	"II"	21.262725	12
"S"	"II"	21.297861	4
"S"	"II"	21.297861	6
"S"	"II"	21.303197	10
"S"	"II"	21.303197	12
"S"	"II"	21.370376	2
"S"	"II"	21.370376	4
"S"	"II"	21.488548	2
"S"	"II"	21.523132	4
"S"	"II"	21.585413	6
"S"	"II"	21.542132	2
"S"	"II"	21.607287	4
"S"	"II"	21.61408	4
"S"	"II"	21.617999	6
"S"	"II"	21.638872	10
"S"	"II"	21.683937	6
"S"	"II"	21.699687	4
"S"	"II"	21.707589	2
"S"	"II"	21.89063	12
"S"	"II"	21.897432	10
"S"	"II"	21.908148	8
"S"	"II"	21.909559	10
"S"	"II"	21.954661	6
"S"	"II"	21.954752	4
"S"	"II"	22.090685	8
"S"	"II"	22.099023	10
"S"	"II"	22.111883	6
"S"	"II"	22.174445	6
"S"	"II"	22.182658	4
"S"	"II"	22.189368	2
"S"	"II"	22.30474	12
"S"	"II"	22.483358	8
"S"	"II"	22.483358	10
"S"	"II"	22.497915	8
"S"	"II"	22.497915	6
"S"	"II"	22.531901	10
"S"	"II"	22.531901	12
"S"	"II"	22.536657	6
"S"	"II"	22.536657	4
"S"	"II"	22.58006	2
"S"	"II"	22.58006	4
"S"	"II"	22.892785	6
"S"	"II"	22.892785	4
"S"	"II"	23.21054	8
"S"	"II"	23.21054	6
"He"	"II"	0	2
"Er"	"II"	0	14
"Er"	"II"	0.0546069	12
"Er"	"II"	0.6363623	10
"Er"	"II"	0.6699719	8
"Er"	"II"	0.8461641	16
"Er"	"II"	1.6537976	14
"Er"	"II"	2.1013086	12
"Er"	"II"	0.8864411	12
"Er"	"II"	0.8921103	10
"Er"	"II"	1.3225625	14
"Er"	"II"	1.3506759	8
"Er"	"II"	1.3691129	10
"Er"	"II"	1.4021596	16
"Er"	"II"	1.5359274	12
"Er"	"II"	1.5607128	8
"Er"	"II"	1.5622124	6
"Er"	"II"	1.5888659	20
"Er"	"II"	1.6152571	18
"Er"	"II"	1.6193223	14
"Er"	"II"	1.6351615	4
"Er"	"II"	1.681019	6
"Er"	"II"	1.6827282	22
"Er"	"II"	1.7010116	18
"Er"	"II"	1.770584	16
"Er"	"II"	1.8162789	20
"Er"	"II"	1.9506331	18
"Er"	"II"	2.0136705	10
"Er"	"II"	2.0424997	16
"Er"	"II"	2.049386	12
"Er"	"II"	2.0522944	10
"Er"	"II"	2.3082752	16
"Er"	"II"	2.34195	12
"Er"	"II"	2.5699507	14
"Er"	"II"	2.0634984	14
"Er"	"II"	2.0997756	20
"Er"	"II"	2.1156335	12
"Er"	"II"	2.1547111	14
"Er"	"II"	2.2122106	18
"Er"	"II"	2.2891633	16
"Er"	"II"	2.3932462	18
"Er"	"II"	2.4676708	8
"Er"	"II"	2.6697707	16
"Er"	"II"	2.6901908	12
"Er"	"II"	2.7145169	10
"Er"	"II"	2.7451782	14
"Er"	"II"	2.4022663	16
"Er"	"II"	2.4309228	18
"Er"	"II"	2.4698412	10
"Er"	"II"	2.4788031	12
"Er"	"II"	2.5193507	14
"Er"	"II"	2.5438727	16
"Er"	"II"	2.6041715	14
"Er"	"II"	2.6086277	12
"Er"	"II"	2.6816739	18
"Er"	"II"	2.6851048	12
"Er"	"II"	2.7053245	12
"Er"	"II"	2.7425858	14
"Er"	"II"	2.7524511	16
"Er"	"II"	2.834218	14
"Er"	"II"	2.8814732	12
"Er"	"II"	2.9185511	18
"Er"	"II"	2.9345939	14
"Er"	"II"	2.9533441	12
"Er"	"II"	2.9611173	6
"Er"	"II"	2.9709562	8
"Er"	"II"	3.0454596	10
"Er"	"II"	3.0679932	12
"Er"	"II"	2.9723819	16
"Er"	"II"	2.982256	18
"Er"	"II"	3.0271071	12
"Er"	"II"	3.0290632	16
"Er"	"II"	3.0608628	12
"Er"	"II"	3.0634156	20
"Er"	"II"	3.091652	14
"Er"	"II"	3.1047215	8
"Er"	"II"	3.1470139	12
"Er"	"II"	3.1656082	14
"Er"	"II"	3.1723063	12
"Er"	"II"	3.1730461	12
"Er"	"II"	3.2358601	14
"Er"	"II"	3.1745244	14
"Er"	"II"	3.2200526	12
"Er"	"II"	3.2231148	10
"Er"	"II"	3.2398441	10
"Er"	"II"	3.2731549	12
"Er"	"II"	3.2749744	14
"Er"	"II"	3.3189505	14
"Er"	"II"	3.323452	12
"Er"	"II"	3.3412624	8
"Er"	"II"	3.4039259	10
"Er"	"II"	3.4112461	14
"Er"	"II"	3.414549	12
"Er"	"II"	3.4230779	10
"Er"	"II"	3.4272528	12
"Er"	"II"	3.4580048	10
"Er"	"II"	3.4818112	14
"Er"	"II"	3.5163637	12
"Er"	"II"	3.5969074	10
"Er"	"II"	3.6565828	12
"Er"	"II"	3.6749986	16
"Er"	"II"	3.7965328	14
"Er"	"II"	3.610371	14
"Er"	"II"	3.6281994	8
"Er"	"II"	3.6541601	16
"Er"	"II"	3.673454	14
"Er"	"II"	3.6923202	8
"Er"	"II"	3.6927123	10
"Er"	"II"	3.7020118	12
"Er"	"II"	3.7061815	14
"Er"	"II"	3.716105	16
"Er"	"II"	3.7205589	14
"Er"	"II"	3.7230741	10
"Er"	"II"	3.7347684	12
"Er"	"II"	3.7357384	8
"Er"	"II"	3.7390835	12
"Er"	"II"	3.7589497	10
"Er"	"II"	3.8304232	8
"Er"	"II"	3.8276932	10
"Er"	"II"	3.8332735	10
"Er"	"II"	3.8821956	8
"Er"	"II"	3.8908447	10
"Er"	"II"	3.8913268	12
"Er"	"II"	3.8953952	14
"Er"	"II"	3.9428341	12
"Er"	"II"	3.9481682	10
"Er"	"II"	3.9554285	8
"Er"	"II"	3.9735385	16
"Er"	"II"	3.9765898	12
"Er"	"II"	4.0006286	10
"Er"	"II"	4.0298187	10
"Er"	"II"	4.0330077	14
"Er"	"II"	4.0442099	12
"Er"	"II"	4.0609125	10
"Er"	"II"	4.0654524	8
"Er"	"II"	4.0680463	12
"Er"	"II"	4.0786302	10
"Er"	"II"	4.1045631	12
"Er"	"II"	4.0930275	14
"Er"	"II"	4.094999	10
"Er"	"II"	4.1075856	10
"Er"	"II"	4.1184079	18
"Er"	"II"	4.1593311	16
"Er"	"II"	4.1849527	14
"Er"	"II"	4.129587	10
"Er"	"II"	4.1583399	8
"Er"	"II"	4.1616406	10
"Er"	"II"	4.1720638	10
"Er"	"II"	4.1732506	12
"Er"	"II"	4.1750749	14
"Er"	"II"	4.1809387	12
"Er"	"II"	4.1912195	10
"Er"	"II"	4.2140123	12
"Er"	"II"	4.2247461	10
"Er"	"II"	4.2338325	8
"Er"	"II"	4.2398118	10
"Er"	"II"	4.2406627	8
"Er"	"II"	4.2578171	12
"Er"	"II"	4.2647022	10
"Er"	"II"	4.2830649	14
"Er"	"II"	4.2852977	12
"Er"	"II"	4.2990495	10
"Er"	"II"	4.3273365	8
"Er"	"II"	4.3360296	12
"Er"	"II"	4.3473685	10
"Er"	"II"	4.3661639	12
"Er"	"II"	4.3737324	14
"Er"	"II"	4.384067	8
"Er"	"II"	4.4160575	12
"Er"	"II"	4.4227146	14
"Er"	"II"	4.4411064	8
"Er"	"II"	4.4481914	10
"Er"	"II"	4.4492017	12
"Er"	"II"	4.4509375	10
"Er"	"II"	4.4544552	8
"Er"	"II"	4.4643216	10
"Er"	"II"	4.4817447	12
"Er"	"II"	4.4872617	20
"Er"	"II"	4.5702511	18
"Er"	"II"	4.6272179	16
"Er"	"II"	4.6660356	14
"Er"	"II"	4.6704302	12
"Er"	"II"	4.5033829	10
"Er"	"II"	4.5209608	4
"Er"	"II"	4.5218208	8
"Er"	"II"	4.5219497	8
"Er"	"II"	4.5431817	12
"Er"	"II"	4.5549621	8
"Er"	"II"	4.5578017	10
"Er"	"II"	4.5657422	8
"Er"	"II"	4.5705451	12
"Er"	"II"	4.5790183	6
"Er"	"II"	4.5922215	10
"Er"	"II"	4.5945722	8
"Er"	"II"	4.5996843	12
"Er"	"II"	4.6011034	10
"Er"	"II"	4.6031555	6
"Er"	"II"	4.6056006	12
"Er"	"II"	4.6317252	4
"Er"	"II"	4.6418018	10
"Er"	"II"	4.6473109	10
"Er"	"II"	4.6527747	8
"Er"	"II"	4.6639226	10
"Er"	"II"	4.6740584	8
"Er"	"II"	4.6756931	6
"Er"	"II"	4.6787383	10
"Er"	"II"	4.6801478	8
"Er"	"II"	4.7063936	10
"Er"	"II"	4.7367526	6
"Er"	"II"	4.749957	12
"Er"	"II"	4.7508518	8
"Er"	"II"	4.7565067	10
"Er"	"II"	4.7657531	12
"Er"	"II"	4.7697404	4
"Er"	"II"	4.7706403	10
